#,Kana,Kanji,Type,Definition/s
62,あしもと,足元,n,"at one's feet, underfoot"
63,あじわう,味わう,v5u,"to taste, to savor, to relish"
64,あす,明日,n-t,tomorrow
65,あずかる,預かる,"v5r,vt","to keep in custody, to receive on deposit, to take charge of"
66,あずける,預ける,"v1,vt","to give into custody, to entrust, to deposit"
67,あせ,汗,n,"sweat, perspiration"
68,あそこ,,n,"there, over there"
69,あそび,遊び,"n,n-suf",play
70,あそぶ,遊ぶ,u-v,"to play, to make a visit"
71,あたえる,与える,v1,"to give, to present, to award"
72,あたたか(い),暖かい,adj,"warm, mild"
73,あたたまる,暖まる,v5r,"to warm up, to get warm"
74,あたためる,暖める,v1,"to warm, to heat"
75,あたま,頭,,head
76,あたらしい,新しい,adj,new
77,あたり,辺り,n,"vicinity, nearby"
78,あたりまえ,,"adj-na,adj-no,n","usual, common, ordinary"
79,あたる,当たる,v5r,"to be hit, to be successful, to be equivalent to"
80,あちこち,,"adv,n",here and there
81,あひら,あひら,,
82,あっち,,n,(col) over there
83,あちらこちら,,"adv,n",here and there
84,あつい,厚い,adj,"cordial, kind, warm(hearted), thick, deep"
85,あつい,暑い,adj,"hot, warm"
86,あつい,熱い,adj,hot (thing)
87,あつかう,扱う,v5u,"to handle, to deal with, to treat"
88,あつかましい,厚かましい,adj,"impudent, shameless, brazen"
89,あっしゅく,圧縮,"n,vs","compression, condensation, pressure"
90,あつまり,集まり,n,"gathering, meeting, assembly, collection"
91,あつまる,集る,v5r,"(1) to gather, to crowd round, to swarm, to flock, (2) to extort from, to sponge off"
92,あつめる,集める,"v1,vt","to collect, to assemble"
93,あてな,宛名,n,"address, direction"
94,あてはまる,,"v5r,vi","to be applicable, to come under (a category), to fulfill"
95,あてはめる,,"v1,vt","to apply, to adapt"
96,あてる,当てる,v1,"to hit, to apply a patch"
97,あと,後,"adj-no,n","afterwards, since then, in the future"
98,あと,跡,n,"(1) trace, tracks, mark, sign, (2) remains, ruins, (3) scar"
99,あと,,n,"(1) trace, tracks, (2) remains, ruins, (3) scar"
100,あな,穴,n,hole
101,アナウンサー,,n,announcer
102,あなた,,n,"(1) the other, the other side, (2) there, yonder, that"
103,あに,兄,n,(hum) older brother
104,あね,姉,n,(hum) older sister
105,あの,,adj-pn,that over there
106,アパート,,"n,adv","(1) apartment (abbr), (2) apartment building (abbr), (3) apart"
107,あばれる,暴れる,v1,"to act violently, to rage, to struggle, to be riotous"
108,あびる,浴びる,v1,"to bathe, to bask in the sun, to shower"
109,あぶない,危ない,adj,"dangerous, critical, watch out!"
110,あぶら,油,n,oil
111,あぶら,脂,n,"fat, tallow, lard"
112,アフリカ,,n,Africa
113,あぶる,,v5r,to scorch
114,あふれる,,v1,"to flood, to overflow, to brim over"
115,あまい,甘い,adj,"delicious, sweet, naive"
116,あまど,雨戸,n,sliding storm door
117,あまやかす,甘やかす,v5s,"to pamper, to spoil"
118,あまり,余り,"adj-na,adv,n,n-suf","not very (used as adverb), not much"
119,あまり,余り,"adj-na,adv,n,n-suf","not very (only used as adverb), not much, remainder, rest"
120,あまる,余る,v5r,"to remain, to be left over, to be in excess, to be too many"
121,あみもの,編物,n,"knitting, web"
122,あむ,編む,v5m,to knit
123,あめ,雨,n,rain
124,あめ,飴,n,(hard) candy
125,アメリカ,,n,America
126,あやうい,危うい,adj,"dangerous, critical, grave"
127,あやしい,怪しい,adj,"suspicious, dubious, doubtful"
128,あやまり,誤り,n,error
129,あやまる,謝る,v5r,to apologize
130,あら,粗,n,"defect, flaw, blemish, weak point"
131,あらい,荒い,adj,"rough, rude, wild"
132,あらい,粗い,adj,"coarse, rough"
133,あらう,洗う,v5u,to wash
134,あらし,嵐,n,"storm, tempest"
135,あらすじ,,n,"outline, summary"
136,あらそう,争う,v5u,"to dispute, to argue, to be at variance, to compete"
137,あらた,新た,"adj-na,n","new, fresh, novel"
138,あらためて,改めて,adv,"another time, again, over again, anew, formally"
139,あらためる,改める,v1,"to change, to alter, to reform, to revise"
140,あらゆる,,adj-pn,"all, every"
141,あらわす,表す,v5s,"to express, to show, to reveal"
142,あらわす,現す,v5s,"to show, to indicate, to display"
143,あらわす,著す,v5s,"to write, to publish"
144,あらわれ,現れ,n,"embodiment, materialization"
145,あらわれる,現れる,v1,"(1) to appear, to come in sight, to become visible, (2) to express oneself"
146,ありがたい,有難い,adj,"grateful, thankful, welcome, appreciated, evoking gratitude"
147,ありがとう,,io,"(conj,exp,int) Thank you"
148,ある,有る,v5r-i,"to be, to have"
149,ある,在る,v5r-i,"to live, to be"
150,ある,或,adj-pn,"a certain..., some..."
151,あるいは,,"adv,conj,exp","or, possibly"
152,あるく,歩く,v5k,to walk
153,アルバイト,,n,part-time job
154,アルバム,,n,album
155,あれ,,n,"that, over there"
156,あれこれ,,"adv,n","one thing or another, this and that, this or that"
157,あれる,荒れる,v1,"to be stormy, to be rough, to lose one's temper"
158,あわ,泡,n,"bubble, foam, froth, head on beer"
159,あわせる,合わせる,v1,"to join together, to be opposite, to face, to unite"
160,あわただしい,,adj,"busy, hurried, confused, flurried"
161,あわてる,,v1,to become confused
162,あわれ,哀れ,"adj-na,int,n","helpless, pity, sorrow, grief"
163,あん,案,"n,n-suf","plan, suffix meaning draft"
164,あんい,安易,"adj-na,n",easy-going
165,あんがい,案外,"adj-na,n-adv",unexpectedly
166,あんき,暗記,"n,vs","memorization, learning by heart"
167,あんしん,安心,n,"peace of mind, relief"
168,あんぜん,安全,"adj-na,n","safety, security"
169,あんてい,安定,"adj-na,n,vs","stability, equilibrium"
170,アンテナ,,n,antenna
171,あんな,,"adj-na,adj-pn","such, so, that, sort of"
172,あんない,案内,"n,vs","information, guidance, leading"
173,あんなに,,exp,"to that extent, to that degree"
174,あんまり,,"adj-na,adv,n,n-suf","not very, not much, remainder, rest"
175,い,胃,n,stomach
176,~い,~位,,place/rank
177,いい,,adj,good
178,よい,,adj,"good, nice, pleasant, ok"
179,いいえ,,"int,n","no, not at all"
180,いえ,いえ,"int,n",TODO same as いいえ?
181,いいだす,言い出す,v5s,"to start talking, to speak, to tell, to propose, to suggest, to break the ice"
182,いいつける,言い付ける,v1,"to tell, to tell on (someone), to order"
183,いいん,委員,n,committee member
184,いう,言う,v5u,to say
185,ゆう,言う,v5u,to say
186,いえ,家,suf,"house, family"
187,いか,以下,n,"less than, up to, below, under"
188,いがい,以外,n-adv,"with the exception of, excepting"
189,いがい,意外,"adj-na,n","unexpected, surprising"
190,いかが,,"adj-na,adv,n","how, in what way"
191,いがく,医学,n,"medical science, medicine"
192,いき,行き,n,going
193,ゆき,行き,n,going
194,いき,息,n,"breath, tone"
195,いぎ,意義,n,"meaning, significance"
196,いきいき,生き生き,"adv,n","vividly, lively"
197,いきおい,勢い,"adv,n","force, vigor, energy, spirit"
198,いきなり,,adv,"(uk) abruptly, suddenly, all of a sudden, without warning"
199,いきもの,生き物,n,"living thing, animal"
200,いきる,生きる,v1,"to live, to exist"
201,いく~,幾~,,
202,いく,行く,v5k-s,to go
203,ゆく,行く,v5k-s,to go
204,いくじ,育児,n,"childcare, nursing, upbringing"
205,いくつ,幾つ,n,"how many?, how old?"
206,いくぶん,幾分,"adv,n",somewhat
207,いくら,幾ら,"adv,n","how much?, how many?"
208,いくら~ても,,,
209,いけ,池,n,pond
210,いけない,,"adj,exp","must not do, bad, wrong, not good"
211,いけばな,生け花,n,(1) flower arrangement
212,いけん,意見,n,"opinion, view"
213,いご,以後,"n-adv,n-t","after this, from now on, hereafter, thereafter"
214,いこう,以降,"n-adv,n-t","on and after, hereafter, thereafter"
215,イコール,,"adj-na,n",equal
216,いさましい,勇ましい,adj,"brave, valiant, gallant, courageous"
217,いし,石,n,"volume measure (approx. 180l, 5 bushels, 10 cub.ft)"
218,いし,医師,n,"doctor, physician"
219,いし,意思,n,"intention, purpose"
220,いし,意志,n,"will, volition"
221,いじ,維持,"n,vs","maintenance, preservation"
222,いしき,意識,"n,vs","consciousness, senses"
223,いじめる,,v1,"to tease, to torment"
224,いしゃ,医者,n,doctor (medical)
225,いじょう,以上,"n-adv,n-t","more than, exceeding, greater than"
226,いじょう,異常,"adj-na,n","strangeness, abnormality, disorder"
227,いしょくじゅう,衣食住,n,"necessities of life (food, clothing, etc.)"
228,いじわる,意地悪,"adj-na,n","malicious, ill-tempered, unkind"
229,いす,椅子,n,chair
230,いずみ,泉,n,"spring, fountain"
231,いずれ,,"adv,n","where, which, who"
232,いぜん,以前,"n-adv,n-t","ago, since, before, previous"
233,いそがしい,忙しい,adj,"busy, irritated"
234,いそぐ,急ぐ,v5g,"to hurry, to rush"
235,いた,板,n,"board, plank"
236,いたい,痛い,adj,painful
237,いだい,偉大,"adj-na,n",greatness
238,いだく,抱く,v5k,"(sl) to embrace, to hug, to harbour, to entertain"
239,いたす,致す,v5s,(hum) to do
240,いたずら,,"adj-na,n,vs","tease, prank, trick, practical joke"
241,いただきます,,exp,expression of gratitude before meals
242,いただく,頂く,v5k,"to receive, to take food or drink (hum)"
243,いたみ,痛み,n,"pain, ache, sore, grief, distress"
244,いたる,至る,v5r,"to come, to arrive"
245,いち,,n,"market, fair"
246,（日本一）,~いち,,
247,いち,位置,"n,vs","place, situation, position, location"
248,いちいち,,"adv,n","one by one, separately"
249,いちおう,一応,adv,"once, tentatively, in outline, for the time being"
250,いちじ,一時,"n-adv,n","moment, time"
251,いちだんと,一段と,adv,"greater, more, further, still more"
252,いちど,一度,n-adv,"once, one time, on one occasion"
253,いちどに,一度に,adv,all at once
254,いちば,市場,n,(the) market (as a concept)
255,いちばん,一番,n-adv,"best, first, number one"
256,いちりゅう,一流,n,"first class, top grade, foremost, top-notch"
257,いつ,佚,n,"be lost, peace, hide, mistake, beautiful, in turn"
258,いつか,五日,n,"five days, the fifth day (of the month)"
259,いつか,,adv,"sometime, someday, one day"
260,いっか,一家,n,"a house, a home, a family, a household"
261,いっさくじつ,一昨日,"n-adv,n-t",day before yesterday
262,いっさくねん,一昨年,"n-adv,n-t",year before last
263,いっしゅ,一種,"adv,n","a species, a kind, a variety"
264,いっしゅん,一瞬,"n-adv,n-t","a moment, an instant"
265,いっしょ,一緒,"adv,n","together, meeting, company"
266,いっしょう,一生,"n-adv,n-t","whole life, a lifetime, all through life"
267,いっしょうけんめい,一生懸命,"adj-na,n-adv,n","very hard, with utmost effort, with all one's might"
268,いっせい,一斉,"n-adv,n","simultaneous, all at once"
269,いっそう,一層,"n-adv,n","much more, still more, all the more"
270,いったい,一体,"adv,n","(1) one object, one body, (2) what on earth?, really?, (3) generally"
271,いったん,一旦,adv,"once, for a moment, one morning, temporarily"
272,いっち,一致,"n,vs","(1) coincidence, agreement, (2) conformity"
273,いつつ,五つ,n,five
274,いってい,一定,"adj-no,n,vs","fixed, settled, definite"
275,いっていらっしゃい,,,
276,いってらっしゃい,,,
277,いってまいります,,,
278,いってきます,,,"Lit. I'll go and come back, ""I'm going, see you later"""
279,いつでも,,adv,"(at) any time, always, at all times, never (neg)"
280,いつのまにか,,adv,"before one knows, unnoticed, unawares"
281,いっぱい,,"adj-na,adv,n","(1) a cup of, a drink, (2) full"
282,いっぱん,一般,"adj-no,n","general, liberal, universal, ordinary, average"
283,いっぽう,一方,"conj,n-adv,n","(1) on the other hand, (2) meanwhile, (3) only, simple, in turn"
284,いつまでも,,adv,"forever, for good, eternally, as long as one likes, indefinitely"
285,いつも,いつも,"adv,n","always, usually, every time, never (with neg. verb)"
286,いてん,移転,"n,vs","moving, transfer, demise"
287,いと,糸,"n,n-suf","thread, yarn, string"
288,いど,井戸,n,water well
289,いど,緯度,n,latitude (nav.)
290,いどう,移動,"n,vs","removal, migration, movement"
291,いとこ,従兄弟,n,cousin (male)
292,いとこ,従姉妹,n,cousin (female)
293,いない,以内,"n,n-suf","within, inside of, less than"
294,いなか,田舎,gikun,"(n) rural, not particularly urban, countryside, suburb"
295,いぬ,犬,n,dog
296,いね,稲,n,rice-plant
297,いねむり,居眠り,"n,vs","dozing, nodding off"
298,いのち,命,n,"command, decree, life, destiny"
299,いのる,祈る,"v5r,vi","to pray, to wish"
300,いばる,威張る,v5r,"to be proud, to swagger"
301,いはん,違反,n,"violation (of law), transgression, infringement, breach"
302,いふく,衣服,n,clothes
303,いま,今,,"this, now"
304,いま,居間,n,living room (western style)
305,いまに,今に,adv,"before long, even now"
306,いまにも,今にも,adv,"at any time, soon"
307,いみ,意味,"n,vs","meaning, significance"
308,イメージ,,n,one's image
309,いもうと,妹,n,(hum) younger sister
310,いや,嫌,"adj-na,n","disagreeable, detestable, unpleasant, reluctant"
311,いや,否,n,"no, the noes"
312,いやがる,嫌がる,v5r,"to hate, to dislike"
313,いよいよ,,adv,"more and more, all the more, increasingly, at last, beyond doubt"
314,いらい,以来,"n-adv,n-t","since, henceforth"
315,いらい,依頼,"n,vs","(1) request, commission, dispatch, (2) dependence, trust"
316,いらいら,,"oK(adv,n,vs) (uk)","getting nervous, irritation"
317,いらっしゃい,,"int,n",welcome
318,いらっしゃる,,v5aru,"(hon) to be, to come, to go"
319,いりぐち,入口,n,"entrance, gate, approach, mouth"
320,いりょう,医療,n,"medical care, medical treatment"
321,いる,居る,v5r,"to be (animate), to be, to exist"
322,いる,要る,v5r,to need
323,いる,煎る,v5r,"to parch, to fry"
324,いる,炒る,,
325,いれもの,入れ物,n,"container, case, receptacle"
326,いれる,入れる,v1,"to put in, to take in"
327,いろ,色,n,"(1) colour, (2) sensuality, lust"
328,いわ,岩,n,"rock, crag"
329,いわい,祝い,n,"celebration, festival"
330,いわう,祝う,v5u,"to congratulate, to celebrate"
331,いわば,言わば,adv,so to speak
332,いわゆる,,"adj-pn,adv","the so-called, so to speak"
333,~いん,~員,,
334,インク,,n,ink
335,インキ,,n,ink
336,いんさつ,印刷,"n,vs",printing
337,いんしょう,印象,n,impression
338,いんたい,引退,"n,vs",retire
339,インタビュー,,n,interview
340,いんよう,引用,n,"quotation, citation"
341,いんりょく,引力,n,gravity
342,ウイスキー,,n,whisky
343,ウーマン,,n,woman
344,ウール,,n,wool
345,うえ,上,"n,pref,suf","top, best, high class, going up"
346,うわ,上,"n,pref,suf","upper, outer, surface"
347,ウエートレス,,n,waitress
348,うえき,植木,n,"garden shrubs, trees, potted plant"
349,うえる,植える,v1,"to plant, to grow"
350,うえる,飢える,v1,to starve
351,うお,魚,n,fish
352,うがい,,"n,vs","gargle, rinse mouth"
353,うかがう,伺う,"v5u,vi,vt","(hon) to visit, to ask, to inquire"
354,うかぶ,浮ぶ,v5b,"to float, to rise to surface, to come to mind"
355,うかべる,浮かべる,v1,"to float, to express, to look (sad, glad)"
356,うく,浮く,v5k,"to float, to become merry, to become loose"
357,うけたまわる,承る,v5r,"(hum) to hear, to be told, to know"
358,うけつけ,受付,n,"receipt, acceptance, reception (desk), information desk"
359,うけとり,受取,n,receipt
360,うけとる,受け取る,v5r,"to receive, to get, to accept, to take"
361,うけもつ,受け持つ,v5t,to take (be in) charge of
362,うける,受ける,v1,"to undertake, to accept"
363,うごかす,動かす,"v5s,vt","to move, to shift"
364,うごく,動く,"v5k,vi","to move, to work, to be touched, to change"
365,うさぎ,兎,n,"rabbit, hare, cony"
366,うし,牛,n,"cattle, cow"
367,うしなう,失う,v5u,"to lose, to part with"
368,うしろ,後,"adj-no,n","afterwards, since then, in the future"
369,うすい,薄い,adj,"thin, weak, watery, diluted"
370,うすぐらい,薄暗い,adj,"dim, gloomy"
371,うすめる,薄める,v1,"to dilute, to water down"
372,うそ,嘘,n,"lie, falsehood, incorrect fact, inappropriate"
373,うた,歌,n,"song, poetry"
374,うたう,歌う,v5u,to sing
375,うたがう,疑う,v5u,"to doubt, to distrust, to be suspicious of, to suspect"
376,うち,内,n,inside
377,うち,家,suf,"house, family"
378,（三つの~）,うち,n,inside
379,うちあわせ,打合せ,n,"business meeting, previous arrangement, appointment"
380,うちけす,打ち消す,v5s,"to deny, to negate, to contradict"
381,うちゅう,宇宙,n,"universe, cosmos, space"
382,うつ,打つ,v5t,"to hit, to strike"
383,うつ,討つ,v5t,"to attack, to avenge"
384,うつ,撃つ,v5t,"to attack, to defeat, to destroy"
385,うっかり,,"adv,n","carelessly, thoughtlessly, inadvertently"
386,うつくしい,美しい,adj,"beautiful, lovely"
387,うつす,写す,v5s,"to copy, to transcribe, to duplicate"
388,うつす,映す,v5s,"to project, to reflect, to cast (shadow)"
389,うつす,移す,v5s,"to remove, to transfer, to infect"
390,うったえる,訴える,v1,"to sue (a person), to resort to, to appeal to"
391,うつる,写る,v5r,"to be photographed, to be projected"
392,うつる,映る,v5r,"to be reflected, to harmonize with, to come out (photo)"
393,うつる,移る,v5r,"to move (house), to transfer (department)"
394,うで,腕,n,"(1) arm, (2) skill"
395,うどん,,n,noodles (Japanese)
396,うなずく,,v5k,"to nod, to bow one's head in assent"
397,うなる,,v5r,"to groan, to moan"
398,うばう,奪う,v5u,to snatch away
399,うま,馬,n,"(1) horse, (2) promoted bishop (shogi)"
400,うまい,うまい,adj,delicious
401,うまれ,生まれ,n,"birth, birth-place"
402,うまれる,生まれる,v1,to be born
403,うみ,海,n,"sea, beach"
404,うむ,有無,n,"yes or no, existence, flag indicator (comp), presence or absence marker"
405,うめ,梅,n,"plum, plum-tree, lowest (of a three-tier ranking system)"
406,うめる,埋める,v1,"to bury, to fill up, to fill (a seat, a vacant position)"
407,うやまう,敬う,v5u,"to show respect, to honour"
408,うら,裏,n,"reverse side, wrong side, back"
409,うらがえす,裏返す,v5s,"to turn inside out, to turn (something) over"
410,うらぎる,裏切る,v5r,"to betray, to turn traitor to, to double-cross"
411,うらぐち,裏口,n,"backdoor, rear entrance"
412,うらなう,占う,v5u,"to forecast, to predict"
413,うらみ,恨み,n,resentment
414,うらむ,恨む,v5m,"to curse, to feel bitter"
415,うらやましい,羨ましい,adj,"envious, enviable"
416,うらやむ,羨む,v5m,to envy
417,うりあげ,売上,n,"amount sold, proceeds"
418,うりきれ,売り切れ,n,sold-out
419,うりきれる,売り切れる,v1,to be sold out
420,うりば,売り場,"adj-no,n","place where things are sold, salesfloor, counter (in shop)"
421,うる,売る,v5r,to sell
422,うるさい,,adj,"noisy, loud, fussy"
423,うれしい,嬉しい,adj,"happy, glad, pleasant"
424,うれゆき,売行き,n,sales
425,うれる,売れる,v1,to be sold
426,うろうろ,,"adv,n,vs","loiteringly, aimless wandering"
427,うわ~,上~,,
428,うわぎ,上着,n,"coat, tunic, jacket, outer garment"
429,うわさ,噂,n,"rumour, report, gossip, common talk"
430,（感）,うん,n,"fortune, luck"
431,うん,運,n,"fortune, luck"
432,うんが,運河,n,"canal, waterway"
433,うんてん,運転,"n,vs","operation, motion, driving"
434,うんと,,,"a great deal, very much"
435,うんどう,運動,"n,vs","motion, exercise"
436,え,柄,n,"handle, grip"
437,え,絵,"n,n-suf","picture, drawing, painting, sketch"
438,えいえん,永遠,"adj-na,n","eternity, perpetuity, immortality, permanence"
439,えいが,映画,n,"movie, film"
440,えいきゅう,永久,"adj-na,n","eternity, perpetuity, immortality"
441,えいきょう,影響,"n,vs","influence, effect"
442,えいぎょう,営業,n,"business, trade, management"
443,えいご,英語,n,the English language
444,えいせい,衛星,n,satellite
445,えいぶん,英文,n,sentence in English
446,えいよう,栄養,n,"nutrition, nourishment"
447,えいわ,英和,n,English-Japanese (e.g. dictionary)
448,ええ,,"conj,int,n",yes
449,ええと,,int,"let me see, well, er...."
450,えがお,笑顔,n,smiling face
451,えがく,描く,v5k,"to draw, to paint, to sketch, to depict, to describe"
452,えき,駅,n,station
453,えきたい,液体,n,"liquid, fluid"
454,えさ,餌,n,"feed, bait"
455,エスカレーター,,n,escalator
456,えだ,枝,n,"branch, bow, twig, limb"
457,エチケット,,n,etiquette
458,エネルギー,,de:,(n) energy (de: Energie)
459,えのぐ,絵の具,n,"colors, paints"
460,エプロン,,n,apron
461,えらい,偉い,adj,"great, celebrated, eminent, terrible, awful, famous, remarkable, excellent"
462,えらぶ,選ぶ,v5b,"to choose, to select"
463,える,得る,v1,"to get, to gain, to win"
464,うる,得る,v1,"to get, to gain, to win"
465,エレベーター,,n,elevator
466,えん,円,n,"circle, money"
467,~えん,~円,,~ yen
468,~えん,~園,,~ garden (especially man made)
469,えんかい,宴会,n,"party, banquet"
470,えんき,延期,"n,vs","postponement, adjournment"
471,えんぎ,演技,n,"acting, performance"
472,えんげい,園芸,n,"horticulture, gardening"
473,えんげき,演劇,n,play (theatrical)
474,えんしゅう,円周,n,circumference
475,えんじょ,援助,"n,vs","assistance, aid, support"
476,エンジン,,n,engine
477,えんぜつ,演説,n,"speech, address"
478,えんそう,演奏,"n,vs",musical performance
479,えんそく,遠足,n,"trip, hike, picnic"
480,えんちょう,延長,"n,vs","extension, elongation, prolongation, lengthening"
481,えんとつ,煙突,n,chimney
482,えんぴつ,鉛筆,n,pencil
483,えんりょ,遠慮,"adj-na,n,vs","diffidence, restraint, reserve"
484,お,御,pref,honourable
485,おん~,御~,,
486,おい,老い,n,"old age, old person, the old, the aged"
487,おいかける,追い掛ける,v1,"to chase or run after someone, to run down, to pursue"
488,おいこす,追い越す,v5s,"to pass (e.g. car), to outdistance, to outstrip"
489,おいしい,,adj,"delicious, tasty"
490,おいつく,追い付く,v5k,"to overtake, to catch up (with)"
491,おいでになる,,v5r,to be
492,オイル,,n,"oil, engine oil, kerosene"
493,おう,王,"n,n-suf","king, ruler, sovereign, monarch"
494,おう,追う,v5u,"to chase, to run after"
495,おうえん,応援,"n,vs","aid, assistance, help, reinforcement"
496,おうさま,王様,n,king
497,おうじ,王子,n,prince
498,おうじょ,王女,n,princess
499,おうじる,応じる,v1,"to respond, to satisfy, to accept, to comply with, to apply for"
500,おうずる,応ずる,v5z,"to answer, to respond, to meet, to satisfy, to accept"
501,おうせつ,応接,n,reception
502,おうたい,応対,"n,vs","receiving, dealing with"
503,おうだん,横断,"n,vs",crossing
504,おうふく,往復,"n,vs","(col) round trip, coming and going, return ticket"
505,おうべい,欧米,,"Europe and America, the West"
506,おうよう,応用,"n,vs","application, put to practical use"
507,おえる,終える,v1,to finish
508,大~,おお~,,big ~
509,おおい,多い,adj,"many, numerous"
510,おおいに,大いに,adv,"very, much, greatly"
511,おおう,覆う,v5u,"to cover, to hide, to conceal, to wrap, to disguise"
512,おおきい,大きい,adj,"big, large, great"
513,オーケストラ,,n,orchestra
514,おおざっぱ,,"adj-na,n","rough (not precise), broad, sketchy"
515,おおぜい,大勢,n,great number of people
516,おおどおり,大通り,n,main street
517,オートメーション,,n,automation
518,オートバイ,,n,motorcycle (lit: auto-bi(ke))
519,オーバー,,"adj-na,n,vs","(1) overcoat, (2) over"
520,オーバーコート,,,
521,おおや,大家,n,"rich family, distinguished family"
522,おおよそ,大凡,"adv,n","about, roughly, as a rule, approximately"
523,おか,丘,n,"hill, height, knoll, rising ground"
524,おかあさん,お母さん,n,(hon) mother
525,おかえり,お帰り,expr,"return, welcome"
526,おかげ,,n,thanks or owing to
527,おかけください,,,
528,おかげさまで,,exp,"Thanks to god, thanks to you"
529,おかしい,,adj,"strange, funny, amusing, ridiculous"
530,おかず,,n,"side dish, accompaniment for rice dishes"
531,おかまいなく,,"exp,n,pol",please don't fuss over me
532,おがむ,拝む,v5m,"to worship, to beg, to make a supplication"
533,おかわり,お代わり,n,"second helping, another cup"
534,おき,沖,n,open sea
535,~おき,,,
536,おぎなう,補う,v5u,to compensate for
537,おきる,起きる,v1,"to get up, to rise"
538,おきのどくに,,,
539,おく,奥,n,"interior, inner part"
540,おく,置く,v5k,"to put, to place"
541,おく,億,num,"100,000,000, hundred million"
542,おくがい,屋外,n,outdoors
543,おくさん,,n,"(hon) wife, your wife, madam"
544,おくじょう,屋上,n,rooftop
545,おくりがな,送り仮名,,part of word written in kana
546,おくりもの,贈り物,n,"present, gift"
547,おくる,送る,v5r,"to send (a thing), to dispatch"
548,おくる,贈る,v5r,"to send, to give to, to award to, to confer on"
549,おくれる,遅れる,v1,"to be late, to be delayed, to fall behind schedule"
550,おげんきで,,,
551,おこさん,お子さん,n,(someone else's) child
552,おこす,起す,io,"(v5s) to raise, to cause, to wake someone"
553,おこたる,怠る,v5r,"to neglect, to be off guard, to be feeling better"
554,おこなう,行う,v5u,"to perform, to do, to conduct oneself, to carry out"
555,おこる,起こる,v5r,"to occur, to happen"
556,おこる,怒る,v5r,"(1) to get angry, to get mad, (2) to be angry"
557,おさえる,押える,v1,"to stop, to restrain, to seize, to repress, to suppress, to press down"
558,おさきに,,adv,"before, ahead, previously"
559,おさない,幼い,adj,"very young, childish"
560,おさめる,収める,v1,"to obtain, to reap, to pay, to supply, to accept"
561,おさめる,納める,v1,"to obtain, to reap, to pay, to supply, to accept"
562,おさめる,治める,v1,"(1) to govern, to manage, (2) to subdue"
563,おじ,伯父,n,(hum) uncle (older than one's parent)
564,おじ,叔父,n,uncle (younger than one's parent)
565,おしい,惜しい,adj,"regrettable, disappointing, precious"
566,おじいさん,,n,"grandfather, male senior-citizen"
567,おしいれ,押し入れ,n,closet
